City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
203,Faanui,PF,2022-03-22 02:49:51,-16.4833,-151.75,81.9,74,14,16.02
204,Leh,IN,2022-03-22 02:49:52,34.1667,77.5833,23.52,66,5,1.83
205,Bitung,ID,2022-03-22 02:49:52,1.4451,125.1824,86.85,66,98,4.09
206,Matay,EG,2022-03-22 02:49:52,28.419,30.7792,48.06,61,0,11.18
207,Boshnyakovo,RU,2022-03-22 02:49:53,49.6333,142.1667,22.86,66,14,15.05
208,Mount Isa,AU,2022-03-22 02:49:53,-20.7333,139.5,94.77,20,6,4.61
209,Trapani,IT,2022-03-22 02:49:54,37.8333,12.6667,40.89,87,0,4.61
210,Kyaikkami,MM,2022-03-22 02:49:54,16.08,97.5675,83.68,70,70,9.75
211,Huilong,CN,2022-03-22 02:49:55,31.8111,121.655,51.93,64,100,16.58
212,Hofn,IS,2022-03-22 02:49:55,64.2539,-15.2082,45.45,99,100,15.46
213,Carnarvon,AU,2022-03-22 02:49:55,-24.8667,113.6333,86.07,45,90,12.66
214,Kachiry,KZ,2022-03-22 02:49:56,53.0675,76.1036,18.5,93,100,13.98
215,Dhidhdhoo,MV,2022-03-22 02:49:56,6.8833,73.1,82.09,68,0,12.28
216,Mayumba,GA,2022-03-22 02:49:56,-3.432,10.6554,77.5,90,100,6.69
217,Huntington,US,2022-03-22 02:48:01,38.4193,-82.4452,54.88,64,62,2.89
218,Emmett,US,2022-03-22 02:49:57,43.8735,-116.4993,49.89,54,17,4.92
219,Katherine,AU,2022-03-22 02:49:57,-14.4667,132.2667,93.52,43,0,5.75
220,Maposeni,TZ,2022-03-22 02:49:57,-10.5833,35.4,65.61,98,100,0.92
221,Bilibino,RU,2022-03-22 02:49:58,68.0546,166.4372,21.76,82,100,4.0
222,Belaya Gora,RU,2022-03-22 02:49:59,68.5333,146.4167,9.73,89,100,6.51
223,Fare,PF,2022-03-22 02:50:00,-16.7,-151.0167,81.57,73,91,14.32
224,Alihe,CN,2022-03-22 02:50:00,50.5667,123.7167,32.72,55,3,8.03
225,Bria,CF,2022-03-22 02:51:00,6.5423,21.9863,70.5,24,50,2.86
226,Porbandar,IN,2022-03-22 02:51:01,21.6422,69.6093,76.95,63,29,13.33
227,Helong,CN,2022-03-22 02:51:01,42.5397,128.9972,36.91,40,0,9.13
228,Udachnyy,RU,2022-03-22 02:51:01,66.4167,112.4,8.31,88,97,11.05
229,Kununurra,AU,2022-03-22 02:51:02,-15.7667,128.7333,98.58,39,100,5.75
230,Uyemskiy,RU,2022-03-22 02:51:02,64.4743,40.8524,28.45,86,0,6.71
231,Hasaki,JP,2022-03-22 02:51:02,35.7333,140.8333,37.8,90,100,26.96
232,Hollola,FI,2022-03-22 02:51:03,61.05,25.4333,27.46,90,0,4.09
233,Port Elizabeth,ZA,2022-03-22 02:51:03,-33.918,25.5701,64.69,99,100,4.61
234,Samfya,ZM,2022-03-22 02:51:03,-11.3649,29.5565,63.66,93,88,8.05
235,Jimeta,NG,2022-03-22 02:51:04,9.2833,12.4667,79.25,26,100,2.84
236,Pierre,US,2022-03-22 02:51:04,44.3683,-100.351,44.28,39,0,6.91
